Study,Equipment,Component,EmissionsKgD
Allen2013,NR,PC,4.105733885
Allen2013,NR,PC,3.624999483
Allen2013,NR,PC,3.485576426
Allen2013,NR,PC,5.2238651
Allen2013,NR,PC,4.949518525
Allen2013,NR,PC,0.859775518
Allen2013,NR,PC,0.139423057
Allen2013,NR,PC,0.423551251
Allen2013,NR,PC,1.694205003
Allen2013,NR,PC,12.98143864
Allen2013,NR,PC,15.72541918
Allen2013,NR,PC,10.76364251
Allen2013,NR,PC,6.143152068
Allen2013,NR,PC,41.56183322
Allen2013,NR,PC,1.262823379
Allen2013,NR,PC,0.09150894
Allen2013,NR,PC,2.068102055
Allen2013,NR,PC,5.713720308
Allen2013,NR,PC,2.673392071
Allen2013,NR,PC,3.669361666
Allen2013,NR,PC,4.219765916
Allen2013,NR,PC,0.212756078
Allen2013,NR,PC,12.25773188
Allen2013,NR,PC,0.128618201
Allen2013,NR,PC,0.792532788
Allen2013,NR,PC,1.510765627
Allen2013,NR,PC,1.411699029
Allen2013,NR,PC,1.001808424
Allen2013,NR,PC,2.03542029
Allen2013,NR,PC,2.359811645
Allen2013,NR,PC,3.493970174
Allen2013,NR,PC,9.299740162
Allen2013,NR,PC,0
Allen2013,NR,PC,9.851049785
Allen2013,NR,PC,1.247626358
Allen2013,NR,PC,13.8278588
Allen2013,NR,PC,2.391283853
Allen2013,NR,PC,1.02506437
Allen2013,NR,PC,1.051348072
Allen2013,NR,PC,1.629589512
Allen2013,NR,PC,3.843425185
Allen2013,NR,PC,4.791119066
Allen2013,NR,PC,0.526496601
Allen2013,NR,PC,50.29498421
Allen2013,NR,PC,0.928212348
Allen2013,NR,PC,1.787668225
Allen2013,NR,PC,6.222460553
Allen2013,NR,PC,1.085162657
Allen2013,NR,PC,3.210272861
Allen2013,NR,PC,3.321675997
Allen2013,NR,PC,5.290076588
Allen2013,NR,PC,4.587076377
Allen2013,NR,PC,3.585301076
Allen2013,NR,PC,2.355050707
Allen2013,NR,PC,0.29877509
Allen2013,NR,PC,0.183893167
Allen2013,NR,PC,20.01808476
Allen2013,NR,PC,10.16533077
Allen2013,NR,PC,0.831945229
Allen2013,NR,PC,5.289199093
Allen2013,NR,PC,1.98344966
Allen2013,NR,PC,0.356003785
Allen2013,NR,PC,4.407665911
Allen2013,NR,PC,0.507361759
Allen2013,NR,PC,0.314914195
Allen2013,NR,PC,1.329637713
Allen2013,NR,PC,0
Allen2013,NR,PC,1.154685382
Allen2013,NR,PC,24.38531361
Allen2013,NR,PC,1.375020097
Allen2013,NR,PC,0.872608908
Allen2013,NR,PC,0.449525801
Allen2013,NR,PC,0.079328083
Allen2013,NR,PC,0.95193699
Allen2013,NR,PC,0.687065091
Allen2013,NR,PC,0.072801115
Allen2013,NR,PC,0.489587185
Allen2013,NR,PC,0.748995654
Allen2013,NR,PC,0
Allen2013,NR,PC,0.043680669
Allen2013,NR,PC,0.567848694
Allen2013,NR,PC,0
Allen2013,NR,PC,0.072801115
