O/G,n_VENT,TB_SMALL_VENT,TB_SMALL_FLARE
Gas,42,0.022178735,
Gas,1,222.1917808,
Gas,278,0.003350744,
Gas,2,0.767123288,
Oil,20,0.046575342,
Gas,4,0.445205479,
Oil,3,0,
Oil,0,,
Oil,3,0,
Oil,4,0,
Oil,0,,
Oil,0,,
Oil,0,,
Oil,40,0.259589041,
Oil,44,0.100249066,
Gas,5,0.306849315,
Gas,7,0.132258317,
Gas,1,4.629041096,
Gas,5,0.370323288,
Gas,2,0.110465753,
Oil,2,0.220931507,
Oil,3,12.69016932,
Gas,82,0.00185275,
Gas,2,0.441863014,
Gas,1,3.093041096,
Gas,6,4.381808219,
Oil,152,0.010174477,
Gas,4,0.441863014,
Oil,6,0,
Gas,4,0.33139726,
Oil,18,0,
Gas,1,0.441863014,
Gas,1,38.98915068,
Gas,13,1.41137197,
Gas,16,2.651835616,
Gas,37,0.185957793,
Gas,6,4.395835616,
Gas,30,0.038224658,
Oil,1,3.440219178,
Gas,3,0.382246575,
Gas,1,2.293479452,
Gas,4,105.2133699,
Gas,224,0,
Oil,0,,
Gas,5,0.132558904,
Oil,6,1.215123288,
Oil,66,0.020084682,
Oil,12,0.534246575,
Oil,83,0,
Gas,0,,
Gas,47,0.365980764,
Gas,21,0.054606654,
Oil,1,0,
Gas,0,,
Gas,4,14.90761644,
Gas,39,0.088210748,
Gas,9,0.382246575,
Gas,2,0.573369863,
Gas,2,1.146739726,
Oil,0,,
Gas,60,0.114673973,
Gas,6,0.191123288,
Gas,0,,
Gas,11,2.814724782,
Gas,26,0.176421496,
Gas,6,0.478684932,
Oil,13,0.033989463,
Oil,5,0.751178082,
Oil,32,0.628270548,
Oil,142,0.003112097,
Oil,4,6.296547945,
Gas,144,0.00460274,
Gas,7,0.662794521,
Gas,53,0.020842595,
Gas,15,1.885282192,
Gas,117,0.026436249,
Gas,18,1.485150685,
Gas,229,0.012541963,
Gas,37,0.441614217,
Oil,69,0.054476871,
Oil,17,0.532473811,
Oil,35,0.063248532,
Oil,11,0.702366127,
Oil,32,0.01369863,
Oil,2,5.632876712,
Oil,48,0.120319635,
Oil,29,0.974964573,
Oil,109,0.004021616,
Oil,2,3.315068493,
Oil,31,0.071409633,
Oil,10,0.375890411,
Oil,15,0.147579909,
Oil,10,1.966027397,
Oil,75,0.120840183,
Oil,26,0.034141201,
Oil,4,5.468493151,
Oil,15,3.999269406,
Oil,279,0.007934404,
Oil,10,1.170410959,
Oil,50,0.251835616,
Oil,52,0.008429926,
Oil,2,0.663013699,
Oil,6,0.588127854,
Oil,16,0.939041096,
Oil,57,0.019418409,
