O/G,N_WELL,N_TANK
Oil,80,73
Oil,10,17
Oil,37,65
Oil,168,40
Oil,2,4
Oil,4,5
Oil,7,469
Oil,149,66
Oil,172,62
Oil,33,18
Oil,60,62
Oil,46,38
Oil,2,6
Oil,9,64
Oil,207,191
Oil,1,2
Oil,4,10
Oil,15,20
Oil,1,2
Oil,231,112
Oil,4,5
Oil,1,1
Oil,6,14
Oil,1,2
Oil,1,3
Oil,4,2
Oil,2,5
Oil,149,31
Gas,23,42
Gas,1,3
Gas,2,7
Gas,2,3
Gas,2,8
Gas,140,32
Gas,6,24
Gas,1,1
Gas,1,1
Oil,1,1
Oil,3,3
Oil,9,9
Oil,1,3
Oil,1,4
Oil,272,29
Oil,301,34
Oil,2,4
Oil,38,60
Oil,121,166
Oil,22,13
Oil,40,79
Oil,33,136
Oil,1,2
Oil,42,74
Oil,114,231
Oil,0,4
Oil,20,43
Oil,23,52
Oil,1,2
Oil,300,307
Oil,7,7
Oil,203,202
Oil,44,16
Oil,742,1053
Oil,9,10
Oil,10,19
Oil,43,45
Oil,0,669
Oil,114,151
Oil,25,53
Oil,23,23
Oil,19,61
Oil,6,8
Oil,22,33
Oil,2,8
Oil,46,28
Oil,34,57
Oil,1,2
Oil,185,355
Oil,1,3
Oil,9,26
Oil,3,10
Oil,64,222
Oil,18,48
Oil,80,38
Oil,67,109
Oil,2,11
Oil,240,215
Oil,51,46
Oil,7,4
Oil,2,2
Oil,37,13
Oil,1184,2271
Oil,14,12
Oil,5,13
Oil,7,1
Oil,98,136
Oil,89,14
Oil,5,8
Oil,111,98
Oil,267,34
Oil,7,4
Oil,41,452
Oil,112,34
Oil,23,72
Oil,303,199
Oil,1,2
Oil,48,329
Oil,96,381
Oil,26,51
Oil,1,2
Oil,49,215
Oil,46,275
Oil,39,196
Oil,1,8
Oil,2,2
Oil,100,240
Oil,2,0
Oil,176,586
Oil,8,44
Oil,20,89
Oil,105,473
Oil,3,14
Oil,119,576
Oil,40,219
Oil,4,15
Oil,3,12
Oil,11,69
Oil,10,47
Oil,1,2
Oil,4,26
Gas,50,194
Gas,2,4
Gas,2,14
Gas,1,4
Gas,16,32
Gas,14,35
Gas,1,4
Gas,5,13
Oil,4,8
Oil,282,579
Oil,241,1591
Oil,82,165
Oil,2,4
Oil,37,131
Oil,1,2
Oil,9,1
Oil,7,28
Oil,1,4
Oil,2,11
Oil,6,26
Oil,2,4
Oil,26,1
Oil,1,3
Oil,4,8
Oil,1,2
Oil,5,15
Oil,3,4
Oil,2,6
Oil,3,9
Oil,2,7
Oil,2,6
Oil,1,2
Oil,32,54
Oil,3,3
Oil,22,122
Oil,1,2
Oil,7,25
Oil,2,2
Oil,3,12
Oil,4,8
Oil,4,8
Oil,6,17
Oil,2,6
Oil,7,12
Oil,1,0
Oil,1,2
Oil,21,84
Oil,1,3
Oil,2,6
Oil,145,483
Oil,2,4
Oil,103,307
Oil,3,17
Oil,31,165
Oil,13,62
Oil,1,2
Oil,92,75
Oil,4,12
Oil,11,60
Oil,1,4
Oil,1,3
Oil,3,6
Oil,1,4
Oil,2,16
Oil,63,442
Oil,95,98
Oil,37,75
Oil,42,42
Oil,13,26
Oil,37,115
Oil,1,2
Oil,2,5
Oil,1,1
Oil,1,3
Oil,1,2
Oil,7,21
Oil,7,4
Oil,1,2
Oil,67,392
Oil,20,20
Oil,4,28
Oil,159,29
Oil,2,7
Oil,1,3
Oil,2,2
Oil,1,4
Oil,2,10
Oil,38,76
Oil,7,4
Oil,1,5
Oil,60,293
Oil,2,4
Oil,16,50
Oil,2,8
Oil,4,15
Oil,2,9
Oil,28,60
Oil,1,4
Oil,3,6
Oil,4,19
Oil,5,17
Oil,1,3
Oil,1,3
Oil,9,18
Oil,3,10
Oil,40,106
Oil,18,92
Oil,1,2
Oil,3,9
Oil,1,4
Oil,1,1
Oil,157,340
Oil,80,103
Oil,2,13
Oil,1,2
Oil,9,26
Oil,4,8
Oil,2,3
Oil,124,5
Oil,1,4
Gas,19,35
Gas,2,3
Gas,7,10
Gas,4,12
Oil,330,79
Oil,7,7
Oil,14,28
Oil,22,46
Oil,9,18
Oil,1,2
Oil,2,2
Oil,1,3
Oil,3,9
Oil,12,4
Oil,23,23
Oil,60,60
Oil,12,12
Oil,1,1
Oil,14,29
Oil,4,4
Oil,1,3
Oil,10,20
Oil,21,63
Gas,5,33
Gas,2,4
Gas,2,7
Gas,38,85
Gas,31,88
